bin_low_MeV,bin_high_MeV,sigma_bin_mb,eta
0.0,5.0,0.0,0.0
5.0,10.0,0.0,0.0
10.0,15.0,0.0,0.0
15.0,20.0,0.0,0.0
20.0,25.0,0.0,0.0
25.0,30.0,0.0,0.0
30.0,35.0,0.0,0.0
35.0,40.0,0.0,0.0
40.0,45.0,5.522074551629111e-07,7.508473880866806e-17
45.0,50.0,3.623612897058941e-07,4.9270980566374945e-17
50.0,55.0,3.4363351793676975e-07,4.6724528433927356e-17
55.0,60.0,1.8439934411040237e-07,2.5073143181188255e-17
60.0,65.0,2.2979430346900764e-07,3.1245585503006275e-17
65.0,70.0,1.8671699686201e-07,2.5388279005372866e-17
70.0,75.0,2.3702617546257917e-07,3.2228917427735256e-17
75.0,80.0,9.593651790935114e-08,1.3044677905175352e-17
80.0,85.0,3.5452891108638233e-07,4.820599656915031e-17
85.0,90.0,4.5141146631583917e-07,6.137930903805576e-17
90.0,95.0,3.2136307431361024e-07,4.369637220937081e-17
95.0,100.0,3.1034475462917967e-07,4.219818951031289e-17
100.0,105.0,6.957999425815883e-07,9.460929305348092e-17
105.0,110.0,2.050920516618073e-06,2.788677151455261e-16
110.0,115.0,2.8888300217943515e-06,3.9279992622532823e-16
115.0,120.0,3.319891488464605e-06,4.51412205601145e-16
120.0,125.0,8.256710210305452e-06,1.1226812020796611e-15
125.0,130.0,1.741384664312366e-05,2.3677951368248025e-15
130.0,135.0,3.289453276876705e-05,4.472734618273831e-15
135.0,140.0,5.20805710831434e-05,7.081498158387662e-15
140.0,145.0,8.158490633546464e-05,1.1093260921515077e-14
145.0,150.0,0.0001436472665289155,1.9532002668672348e-14
150.0,155.0,0.0003020352815634764,4.106833403852842e-14
155.0,160.0,0.0005469581529747381,7.4370980817823e-14
160.0,165.0,0.0009326794827031286,1.2681827218415214e-13
165.0,170.0,0.0015373776647204921,2.0904027884187695e-13
170.0,175.0,0.002996851356953825,4.0748780061090646e-13
175.0,180.0,0.008479964590802892,1.1530375413337116e-12
180.0,185.0,0.011718781156771775,1.5934258295237302e-12
185.0,190.0,0.02956068457552081,4.01942469194588e-12
190.0,195.0,0.04753431421270938,6.463334628572685e-12
195.0,200.0,0.12788565427133536,1.7388865105970003e-11
200.0,205.0,0.24608589628979144,3.346078557009853e-11
205.0,210.0,0.8147588659841503,1.1078437292451711e-10
210.0,215.0,1.9786613397955706,2.6904249209299356e-10
215.0,220.0,4.708017410548488,6.401584300838641e-10
220.0,225.0,19.387155133672877,2.636109791428847e-09
225.0,230.0,90.02035698436923,1.2240245814211887e-08
230.0,235.0,7354456512.875278,0.9999999840386741
235.0,240.0,0.0,0.0
240.0,245.0,0.0,0.0
245.0,250.0,0.0,0.0
250.0,255.0,0.0,0.0
255.0,260.0,0.0,0.0
260.0,265.0,0.0,0.0
265.0,270.0,0.0,0.0
270.0,275.0,0.0,0.0
275.0,280.0,0.0,0.0
280.0,285.0,0.0,0.0
285.0,290.0,0.0,0.0
290.0,295.0,0.0,0.0
295.0,300.0,0.0,0.0
300.0,305.0,0.0,0.0
305.0,310.0,0.0,0.0
310.0,315.0,0.0,0.0
315.0,320.0,0.0,0.0
320.0,325.0,0.0,0.0
325.0,330.0,0.0,0.0
330.0,335.0,0.0,0.0
335.0,340.0,0.0,0.0
340.0,345.0,0.0,0.0
345.0,350.0,0.0,0.0
350.0,355.0,0.0,0.0
355.0,360.0,0.0,0.0
360.0,365.0,0.0,0.0
365.0,370.0,0.0,0.0
370.0,375.0,0.0,0.0
375.0,380.0,0.0,0.0
380.0,385.0,0.0,0.0
385.0,390.0,0.0,0.0
390.0,395.0,0.0,0.0
395.0,400.0,0.0,0.0
