# Reference: (J,PR/C,16,1744,197711)
E,sigma,d_sigma
0.118,0.79,0.01
0.145,2.02,0.01
0.182,4.22,0.01
0.266,13.95,0.1
0.369,22.49,0.1
0.57,31.29,0.1
0.673,31.54,0.25
0.773,29.91,0.25
0.875,27.77,0.25
0.975,26.14,0.25
