# Reference: (J,PR,97,753,1955)
E,sigma
1.28,1.25
1.34,2.25
1.36,0.25
1.45,3.25
1.51,2.25
1.55,4.75
1.59,7.25
1.62,5.5
1.68,12.8
1.72,16.8
1.76,22.8
1.85,29.0
1.88,35.5
1.97,49.0
2.07,58.3
2.18,67.8
2.18,75.3
2.22,75.5
2.29,84.5
2.37,97.0
2.46,91.8
2.47,105.0
2.66,105.0
2.83,112.0
3.01,119.0
3.17,137.0
3.34,135.0
3.5,142.0
3.64,159.0
3.79,159.0
3.89,155.0
4.14,158.0
