# Reference: (J,RCA,12,(2),75,1969) in German
E_min,E_max,sigma
1.832,1.85,7.3
1.85,1.9,16.0
1.9,2.0,36.0
2.0,2.1,86.0
2.1,2.2,130.0
2.2,2.3,190.0
2.3,2.4,210.0
2.4,2.5,160.0
2.5,2.6,320.0
2.6,2.7,420.0
2.7,2.8,500.0
2.8,2.9,510.0
2.9,3.0,450.0
3.0,3.1,540.0
3.1,3.2,380.0
