# Reference: (J,RPC,190,109759,2022)
E,sigma,d_sigma
16.4,9.8,0.8
15.8,19.3,1.5
15.2,34.0,3.0
14.5,42.0,3.0
13.8,48.0,4.0
13.1,27.9,2.2
12.3,35.0,3.0
11.5,40.0,3.0
10.7,59.0,5.0
9.8,24.3,1.9
8.8,13.0,1.0
7.7,36.0,3.0
6.5,0.63,0.07
