# Reference: (J,NP/A,355,1,1981)
E,sigma,d_sigma
5.53,144.9,8.11
5.68,124.8,6.99
6.04,163.5,9.16
6.31,207.0,11.59
6.62,169.0,9.46
7.16,159.6,11.33
7.69,182.7,12.97
7.94,129.0,7.22
8.55,66.5,3.72
