# Reference: (J,ARI,32,389,1981)
E_min,E_max,sigma
,3.5,23.8
3.5,4.0,40.3
4.0,4.5,53.7
4.5,5.0,107.0
5.0,5.5,110.0
5.5,6.0,128.0
6.0,6.5,181.0
6.5,7.0,203.0
7.0,7.5,158.0
7.5,8.0,176.0
8.0,8.5,198.0
8.5,9.0,227.0
9.0,9.5,208.0
9.5,10.0,224.0
10.0,10.5,239.0
10.5,11.0,285.0
11.0,11.5,264.0
11.5,12.0,532.0
