# Reference: (J,IZV,84,1440,2020)
E,sigma,d_sigma
1.43,21.57138,2.96581
1.6695,18.9516,3.35009
1.9195,35.61786,8.04514
2.159,58.63848,10.94143
2.3865,76.3638,5.9995
2.623,94.2006,12.02638
2.847,112.5948,9.95173
3.072,99.2172,5.84623
3.293,84.7248,13.31277
3.5115,71.9046,10.59219
3.7295,67.4454,11.92237
3.948,74.1342,8.7365
4.1595,67.4454,13.90943
4.3765,53.73336,7.38771
4.585,76.9212,11.33118
4.8005,74.6916,12.46977
5.0135,75.8064,10.24733
5.2205,76.3638,8.99926
5.434,83.0526,6.52501
5.637,83.61,9.0321
5.8515,80.2656,13.40035
6.059,52.50708,6.70346
6.2645,66.888,10.51008
6.4745,96.9876,3.8099
6.677,70.2324,13.10476
6.888,78.036,8.42996
7.0935,105.906,14.56084
7.299,109.8078,17.25405
7.508,88.6266,12.18512
7.7085,101.4468,9.96268
7.9175,69.675,4.1055
8.121,59.6418,6.4429
8.326,51.57622,2.02604
8.533,55.51704,14.17547
8.7335,71.3472,11.91142
8.9415,48.7725,9.5795
9.144,57.02202,5.5999
9.348,55.62852,6.55566
9.554,53.90058,3.70535
9.7535,64.6584,8.88978
9.9605,55.74,7.1162
10.1625,78.036,4.59816
10.367,55.74,6.0214
10.571,82.4952,10.53198
10.771,40.18854,4.7361
10.978,46.8216,7.81687
11.1785,38.12616,7.48843
11.3825,47.88066,5.6426
11.5855,54.0678,6.37174
11.786,53.28744,9.41966
