# Reference: (J,PR/C,11,370,1975)
E,sigma,d_sigma
0.28,6.902e-05,1.993e-05
0.28,7.1e-05,
0.289,0.0003884,
0.3,0.001165,
0.319,0.00779,
0.329,0.02573,
0.33,0.01945,
0.35,0.08551,
0.399,0.4487,
0.45,1.994,
0.499,5.025,
