# Reference: (J,IZV,81,717,2017)
E,sigma,d_sigma_percent
2.15,96.5,0.7
2.93,97.6,0.9
3.65,82.4,1.2
4.32,73.9,1.2
4.96,63.3,2.9
5.58,61.6,1.1
6.16,57.1,0.8
6.77,58.3,0.7
7.36,52.7,1.5
