# Reference: (J,PM,46,824,1955)
E,sigma,d_sigma
177.0,2.9,0.4
199.0,6.6,0.9
205.0,7.4,1.1
205.0,9.7,1.4
205.0,9.0,1.3
205.0,10.9,1.4
