# Reference: (C,94CRETE,,38,1994)
E,sigma,d_sigma
1.468,0.04797,0.0040750000000000005
1.469,0.05543,0.004634
1.475,0.06820999999999999,0.005705
1.479,0.08038,0.006674
1.483,0.10640000000000001,0.009102
1.487,0.1102,0.009276999999999999
1.49,0.1135,0.009553
1.494,0.139,0.01156
1.499,0.199,0.016710000000000003
1.5030000000000001,0.2655,0.02219
1.5070000000000001,0.36710000000000004,0.0312
1.5110000000000001,0.5051,0.04172
1.5130000000000001,0.5952999999999999,0.04907
1.5150000000000001,0.6869,0.0573
1.516,0.8417000000000001,0.06937
1.518,0.9602,0.08069
1.52,1.0090000000000001,0.08415
1.522,1.092,0.09237000000000001
1.524,1.19,0.09901
1.526,1.183,0.09761
1.5290000000000001,1.162,0.09702
1.5310000000000001,1.129,0.09336
1.532,1.053,0.0869
1.534,0.9591000000000001,0.08053
1.536,0.8821,0.07336
1.538,0.8172,0.06841
1.54,0.7215,0.05981
1.542,0.6407,0.05321
1.544,0.5952999999999999,0.049850000000000005
1.546,0.526,0.04414
1.548,0.4928,0.041460000000000004
1.552,0.404,0.03352
1.56,0.2701,0.02244
1.564,0.229,0.01925
1.567,0.19530000000000003,0.01651
1.572,0.1732,0.01482
1.575,0.15080000000000002,0.01252
1.579,0.1333,0.01124
1.583,0.1241,0.01056
1.587,0.11259999999999999,0.009374
1.591,0.1034,0.00856
1.595,0.09723000000000001,0.008133
1.599,0.09349,0.007826
1.603,0.08636,0.007355
1.607,0.08326,0.007114
1.611,0.07912000000000001,0.0068200000000000005
1.615,0.07366,0.00618
1.619,0.07493000000000001,0.006473
1.623,0.06738,0.005783000000000001
1.6280000000000001,0.0655,0.005587
1.631,0.06345,0.005412
1.635,0.0623,0.005279
1.639,0.05955,0.00509
1.643,0.06236,0.005354
1.647,0.060020000000000004,0.005129
1.651,0.05715,0.004895
1.655,0.06259,0.0053490000000000005
1.659,0.06784000000000001,0.0058330000000000005
1.663,0.06503,0.0056159999999999995
1.667,0.05575,0.004756000000000001
1.671,0.05473,0.004674
1.675,0.05213,0.004441
1.683,0.05457,0.0046029999999999995
1.687,0.053020000000000005,0.004439
1.691,0.05614,0.0047290000000000006
1.695,0.05343,0.004479
1.699,0.05346,0.0045060000000000005
1.703,0.05659,0.004804
1.707,0.05331,0.004494
1.711,0.05586,0.00472
1.715,0.05756,0.004821
1.719,0.058890000000000005,0.004855000000000001
1.723,0.05558,0.004747
1.727,0.05813,0.004883
1.731,0.06038,0.0051920000000000004
1.735,0.058030000000000005,0.004986
1.739,0.060020000000000004,0.005102000000000001
1.743,0.061810000000000004,0.005261999999999999
1.747,0.061700000000000005,0.005046
1.7510000000000001,0.0631,0.005242
1.7550000000000001,0.06445000000000001,0.005337
1.7590000000000001,0.06403,0.005452
1.7630000000000001,0.06717000000000001,0.005673
1.7670000000000001,0.06726,0.005642
1.7710000000000001,0.06867000000000001,0.0058460000000000005
1.7750000000000001,0.06676,0.0055910000000000005
1.7790000000000001,0.07288,0.006133
1.7830000000000001,0.0712,0.006083000000000001
1.7870000000000001,0.07414,0.006292
1.7910000000000001,0.07369,0.0062510000000000005
1.795,0.07411,0.006211
1.799,0.0846,0.007054
1.803,0.09025,0.007593
1.807,0.09962,0.008425
1.811,0.1267,0.01089
1.815,0.1363,0.01162
1.82,0.1449,0.012490000000000001
1.82,0.1507,0.01306
1.824,0.1413,0.012230000000000001
1.827,0.157,0.01358
1.831,0.1889,0.016260000000000004
1.836,0.2388,0.0206
1.84,0.29760000000000003,0.02542
1.842,0.32210000000000005,0.02783
1.844,0.34600000000000003,0.02991
1.846,0.4017,0.03483
1.848,0.5024,0.042640000000000004
1.85,0.6651,0.0574
1.852,0.8252,0.07249
1.853,1.347,0.16490000000000002
1.855,2.395,0.2832
1.857,3.569,0.418
1.859,4.886,0.5464
1.861,7.238,0.8475
1.863,9.319,1.052
1.865,10.14,1.159
1.867,9.875,1.143
1.87,6.941,0.7876000000000001
1.871,6.099,0.6075
1.873,4.196,0.4222
1.875,2.815,0.2739
1.877,1.933,0.19169999999999998
1.879,1.244,0.11950000000000001
1.881,1.0150000000000001,0.09791
1.883,0.8121,0.07993000000000001
1.885,0.6879,0.06593
1.887,0.522,0.052590000000000005
1.889,0.36569999999999997,0.03673
1.891,0.32030000000000003,0.03149
1.8960000000000001,0.2534,0.02558
1.901,0.2124,0.02127
1.9060000000000001,0.16840000000000002,0.01682
1.911,0.16740000000000002,0.016890000000000002
1.9160000000000001,0.15669999999999998,0.01534
1.921,0.14150000000000001,0.01416
1.926,0.1418,0.01427
1.931,0.1422,0.01446
1.932,0.1487,0.01524
1.935,0.1562,0.016079999999999997
1.94,0.1371,0.01339
1.945,0.1821,0.01843
1.95,0.542,0.05471
1.955,1.461,0.1466
1.96,1.395,0.1268
1.965,0.7769,0.07127
1.97,0.2637,0.024100000000000003
