# Reference: (J,PR/C,11,370,1975)
E,sigma
0.476,23.22
0.724,27.51
0.943,25.86
1.21,22.73
1.436,19.93
1.679,17.62
1.931,16.31
2.184,15.81
2.437,15.32
2.691,16.31
2.938,19.27
3.186,23.06
3.433,25.86
