# Reference: (J,PL,8,127,1964)
E,sigma
2.81,140.7
2.92,140.8
3.02,140.8
3.12,137.0
3.23,135.4
3.32,130.4
3.43,129.1
3.52,125.4
3.63,124.1
3.71,121.2
3.83,118.3
3.93,116.2
4.04,111.6
4.13,108.7
4.23,104.9
4.33,103.7
4.44,101.2
4.53,97.8
4.62,93.2
4.74,89.9
4.84,89.5
4.95,86.6
5.03,83.7
5.13,79.9
5.22,78.7
5.35,78.3
5.43,77.5
5.53,75.0
5.64,72.5
