# Reference: (J,PM,45,(366),762,1954)
E,sigma,d_sigma
0.115,1.833,0.0231
0.133,4.028,0.0507
0.157,6.155,0.0775
0.173,9.177,0.1156
0.191,10.65,0.1341
0.191,12.07,0.152
0.225,17.53,0.2208
0.239,19.61,0.2469
0.239,17.09,0.2151
0.24,22.5,0.2833
0.263,24.83,0.3127
0.287,30.67,0.3862
0.338,37.82,0.4763
