# Reference: (J,PR,114,571,1959)
E,sigma
4.38,2.5
4.53,7.0
4.69,11.0
4.8,16.0
4.86,20.0
4.93,23.0
5.01,29.0
5.1,37.5
5.17,40.0
5.24,35.5
5.32,35.0
5.4,32.0
5.48,32.5
5.57,39.5
5.65,48.0
5.73,52.5
5.88,62.0
6.05,80.0
6.22,99.0
6.38,119.0
6.55,143.0
6.73,190.0
6.91,243.0
7.09,254.0
7.27,251.0
7.45,229.0
7.45,240.0
7.64,182.0
7.83,144.0
8.01,142.0
8.2,148.0
