# Reference: (J,RSR,6,115,1976)
E,sigma,d_sigma
0.1238,0.145,0.033
0.1964,0.624,0.131
0.2467,1.434,0.262
0.3004,2.407,0.328
0.3478,3.479,0.392
0.3954,4.65,0.458
0.452,5.36,0.327
0.4954,5.943,0.392
0.5487,6.654,0.392
0.5957,7.465,0.229
