# Reference: (J,PR/C,49,1205,1994)
E,sigma,d_sigma
0.4081,0.1289,0.0015099
0.4115,0.12701,0.0014883
0.415,0.1308,0.0014524
0.4184,0.13796,0.0014753
0.4219,0.17566,0.0016963
0.4233,0.21426,0.0018669
0.4247,0.30202,0.0022182
0.4254,0.38004,0.0024882
0.4261,0.48269,0.0028188
0.4268,0.60219,0.0032005
0.4274,0.67356,0.0033937
0.4281,0.67639,0.0034128
0.4287,0.62492,0.0032076
0.4294,0.53687,0.0029597
0.4301,0.44098,0.002672
0.4308,0.36181,0.0024192
0.4315,0.30649,0.0022134
0.4322,0.26302,0.0020656
0.4329,0.23218,0.0019337
0.4336,0.21021,0.0018379
0.4343,0.19184,0.0017637
0.4358,0.1741,0.0016544
0.4371,0.15586,0.0015503
0.4392,0.14444,0.0014922
0.4427,0.13312,0.0014357
0.4461,0.1322,0.0014409
0.4496,0.13211,0.0015394
0.4531,0.12986,0.0015131
0.4565,0.12523,0.0014441
