# Reference: (J,PR,51,620,1937)
E,sigma
2.14,4.5
2.47,7.7
2.81,12.1
3.16,17.4
3.47,22.8
3.76,27.7
4.08,26.4
4.32,25.3
4.58,25.4
4.88,24.8
