# Reference: (C,62PADUA,,1013,1962)
E,sigma
2.766,170.9
2.996,175.4
3.967,145.1
4.963,105.0
5.471,95.2
6.001,89.9
6.509,79.2
6.97,78.4
7.478,66.0
7.985,63.4
9.0,54.6
9.991,49.4
11.97,38.0
