# Reference: (J,NP/A,493,112,1989)
E,sigma,d_sigma
0.125,5.8,1.43
0.158,11.05,2.09
0.195,19.74,2.7
0.24,31.14,3.71
0.278,39.1,2.91
0.32,48.91,4.09
0.36,56.52,4.16
0.39,74.2,5.59
0.442,68.28,5.73
0.505,80.68,6.06
