# Reference: (J,PR,114,571,1959)
E,sigma
0.68,0.17
0.693,0.22
0.707,0.27
0.721,0.32
0.736,0.35
0.764,0.58
0.794,0.65
0.824,0.64
0.855,0.8
0.886,0.86
0.918,0.95
0.949,1.04
0.982,1.17
1.01,1.21
1.05,1.31
1.06,1.43
1.08,1.51
1.1,2.06
1.12,3.4
1.13,6.9
1.14,11.9
1.14,26.0
1.15,29.0
1.15,85.0
1.15,55.0
1.15,160.0
1.16,178.0
1.16,252.0
1.16,262.0
1.17,34.0
1.17,55.0
1.17,100.0
1.18,15.0
1.18,12.5
1.2,7.4
1.22,5.5
1.24,9.6
1.26,26.0
1.27,47.0
1.28,118.0
1.28,92.0
1.28,134.0
1.29,200.0
1.29,244.0
1.29,174.0
1.3,311.0
1.3,278.0
1.31,316.0
1.31,314.0
1.31,310.0
1.32,245.0
1.33,173.0
1.34,119.0
1.35,91.0
1.36,73.0
1.37,63.0
1.38,50.0
1.39,47.0
1.4,41.0
1.42,33.0
1.44,26.0
1.46,22.0
1.47,22.0
1.48,20.0
