# Reference: (J,CJP,51,(16),1689,197308)
E,sigma,d_sigma
6.51,0.05,0.012
6.64,0.05,0.01
6.71,0.25,0.04
6.78,0.33,0.042
6.91,1.16,0.09
7.01,2.63,0.14
7.11,2.82,0.16
7.21,4.92,0.24
7.31,11.6,0.58
7.51,11.55,0.68
7.71,13.8,0.83
