# Reference: (J,PR,165,1147,1968)
E,sigma,d_sigma
4.425,2.776,0.021
4.441,3.267,0.042
4.455,3.705,0.045
4.469,4.01,0.049
4.488,4.485,0.053
4.511,5.1,0.06
4.538,5.84,0.13
4.568,6.61,0.07
4.623,8.39,0.16
4.653,9.31,0.17
4.681,10.04,0.18
4.739,11.83,0.09
4.825,13.88,0.1
4.911,16.44,0.11
5.001,22.02,0.17
5.119,28.41,0.13
