# Reference: (J,BCJ,39,(12),2685,196612)
E_min,E_max,sigma
4.57,6.21,26.9
6.39,7.73,128.3
7.88,9.01,80.6
9.13,10.2,63.7
10.3,11.2,84.0
11.3,12.2,71.7
12.3,13.2,88.7
13.3,14.0,91.6
14.2,15.0,73.5
