# Reference: (J,ZP/A,301,353,1981)
E,sigma,d_sigma
7.0,89.0,14.0
7.88,99.0,16.0
9.2,101.0,16.0
10.19,81.0,13.0
11.22,74.0,12.0
12.21,65.0,11.0
13.23,67.0,12.0
14.15,67.0,14.0
15.01,51.0,14.0
16.01,47.0,8.0
