# Reference: (J,IZV,81,717,2017)
E,sigma,d_sigma_percent
3.5,287.3,2.0
3.5,286.4,4.0
4.41,325.4,1.5
4.41,330.4,3.5
4.86,412.0,2.0
4.86,422.4,5.5
5.53,328.8,2.3
5.53,325.4,3.5
11.2,60.3,2.3
11.2,66.0,3.5
