# Reference: (J,PPS,85,281,1965)
E,sigma,d_sigma
3.978,58.38,6.25
4.361,45.86,4.17
4.746,34.39,3.96
5.176,26.66,2.5
5.645,25.18,1.87
6.11,19.54,2.08
6.642,18.06,1.88
7.152,16.58,1.25
8.266,11.53,1.46
9.477,9.19,1.67
