# Reference: (J,NIM,147,399,1977)
E,sigma,d_sigma
24.7,0.2,29.19
27.3,0.2,26.06
29.4,0.2,24.03
29.9,0.2,24.12
31.9,0.2,22.48
34.5,0.2,20.84
34.9,0.1,20.53
36.6,0.2,19.46
39.5,0.2,18.03
40.7,0.1,17.43
44.7,0.1,16.44
