# Reference: (J,AE,2,171,1957)
E,sigma
3.044,32.0174
3.75,82.9101
4.482,146.5795
5.279,173.8342
5.749,243.4988
5.881,301.4815
6.514,346.499
6.803,354.264
7.103,300.0609
7.34,286.2064
7.626,280.2027
7.867,286.0179
8.224,277.0379
8.397,301.5651
8.708,297.5197
8.807,310.2707
9.152,244.2487
9.23,274.711
9.56,246.07
9.993,256.734
10.468,234.9259
10.943,216.0683
11.419,197.2107
