# Reference: (J,NIM/B,525,55,2022)
E,sigma,d_sigma
0.601,7.15,0.37
0.796,10.39,0.48
0.9,11.97,0.56
1.0,13.35,0.6
1.104,15.29,0.69
1.3,17.96,0.81
1.5030000000000001,21.39,0.96
1.703,26.82,1.25
1.853,30.57,1.46
2.008,36.62,1.63
