# Reference: (C,90LENING,,338,1990)
E,sigma,d_sigma
13.45,15.0,3.0
12.2,28.0,4.0
10.9,29.0,4.0
9.5,35.0,5.0
8.4,46.0,6.0
7.1,54.0,6.0
6.1,30.0,3.0
4.8,8.4,0.9
