# Reference: (J,NP/A,98,25,1967)
E,sigma,d_sigma
4.7,166.0,17.0
5.82,234.0,24.0
6.19,220.0,21.0
6.5,267.0,27.0
7.8,312.0,
9.77,432.0,43.0
11.7,619.0,61.0
12.5,608.0,60.0
