# Reference: (J,PR/C,42,748,1990)
E,sigma,d_sigma
10.93,98.0,10.0
15.52,45.0,10.0
19.98,29.0,8.0
22.96,28.0,5.0
24.02,24.2,
26.93,20.0,
29.83,18.0,
