# Reference: (J,PR/C,53,2486,199605)
E,sigma,d_sigma
0.660533,0.116,0.012700000000000001
0.6650349999999999,0.122,0.019
0.665535,0.11900000000000001,0.012700000000000001
0.670468,0.111,0.0122
0.670468,0.11699999999999999,0.00974
0.6750410000000001,0.115,0.0192
0.6755410000000001,0.118,0.0131
0.680472,0.11900000000000001,0.012700000000000001
0.680472,0.116,0.00955
0.6850470000000001,0.122,0.023
0.685547,0.124,0.0135
0.690476,0.11699999999999999,0.0132
0.695054,0.122,0.0219
0.695554,0.121,0.013600000000000001
0.700481,0.11900000000000001,0.0131
0.700481,0.12000000000000001,0.01
0.705061,0.122,0.018600000000000002
0.7055610000000001,0.128,0.0147
0.710487,0.126,0.0138
0.715069,0.13699999999999998,0.0216
0.715569,0.135,0.015099999999999999
0.7204940000000001,0.131,0.0147
0.7204940000000001,0.125,0.0107
0.725077,0.13699999999999998,0.0224
0.730501,0.129,0.014
0.7350850000000001,0.145,0.0249
0.735585,0.135,0.015099999999999999
0.7405090000000001,0.13999999999999999,0.0123
0.7405090000000001,0.134,0.0115
0.750518,0.145,0.0118
0.760528,0.152,0.013
0.760528,0.145,0.012799999999999999
0.7705380000000001,0.159,0.0135
0.780549,0.162,0.0131
0.780549,0.164,0.0143
0.7851319999999999,0.174,0.0276
0.785633,0.165,0.0183
0.7905610000000001,0.17,0.0132
0.800573,0.177,0.014199999999999999
0.800573,0.178,0.0159
0.810585,0.179,0.0148
0.8205979999999999,0.195,0.0149
0.8205979999999999,0.2,0.0176
0.830612,0.195,0.015000000000000001
0.835187,0.221,0.027800000000000002
0.8356870000000001,0.206,0.023799999999999998
0.8406250000000001,0.203,0.0155
0.8406250000000001,0.20900000000000002,0.0188
0.85064,0.216,0.0178
0.860654,0.222,0.0176
0.860654,0.22599999999999998,0.02
0.870669,0.231,0.0176
0.8806849999999999,0.247,0.0195
0.8806849999999999,0.24600000000000002,0.022
0.885247,0.265,0.0368
0.885747,0.264,0.030000000000000002
0.8907010000000001,0.258,0.0198
0.900717,0.26699999999999996,0.0218
0.900717,0.272,0.0241
0.910733,0.27999999999999997,0.0214
0.9207500000000001,0.296,0.023
0.9207500000000001,0.299,0.0263
0.930766,0.311,0.024
0.93531,0.34,0.0471
0.9358110000000001,0.319,0.038099999999999995
0.9407840000000001,0.34099999999999997,0.027
0.9407840000000001,0.324,0.027100000000000003
0.9508010000000001,0.347,0.0279
0.960819,0.38499999999999995,0.0329
0.960819,0.34600000000000003,0.030199999999999998
0.970836,0.39,0.0314
0.9808540000000001,0.393,0.037
0.9808540000000001,0.431,0.034
0.9808540000000001,0.39599999999999996,0.0348
0.985377,0.439,0.052
0.985878,0.425,0.0446
0.9908730000000001,0.45899999999999996,0.039700000000000006
1.00089,0.449,0.0415
1.00089,0.449,0.0387
1.01091,0.46799999999999997,0.0421
1.02093,0.49799999999999994,0.0436
1.03095,0.5509999999999999,0.047
1.03545,0.54,0.07239999999999999
1.0359500000000001,0.5630000000000001,0.0586
1.04097,0.5900000000000001,0.0528
1.04097,0.5609999999999999,0.0482
1.05099,0.625,0.0543
1.061,0.634,0.0562
1.061,0.63,0.0519
1.07102,0.6539999999999999,0.055099999999999996
1.08104,0.703,0.060000000000000005
1.08104,0.687,0.058100000000000006
1.08552,0.722,0.0844
1.08602,0.7240000000000001,0.0819
1.09106,0.776,0.06830000000000001
1.10108,0.8009999999999999,0.0687
1.10108,0.768,0.06420000000000001
1.1111,0.843,0.0735
1.12112,0.8720000000000001,0.0761
1.12112,0.842,0.0708
1.13114,1.02,0.08729999999999999
1.1355899999999999,0.9840000000000001,0.114
1.13609,0.985,0.102
1.1411600000000002,1.03,0.0892
1.1411600000000002,0.891,0.0737
1.15118,1.0399999999999998,0.0869
1.1612,1.14,0.0973
1.1612,1.08,0.09000000000000001
1.1712200000000001,1.16,0.1
1.18124,1.26,0.10500000000000001
1.18124,1.24,0.103
1.1856600000000002,1.3,0.145
1.18616,1.2899999999999998,0.13899999999999998
1.19126,1.36,0.11
1.20128,1.45,0.11900000000000001
1.20128,1.38,0.115
1.2113,1.58,0.131
1.22132,1.58,0.131
1.22132,1.57,0.131
1.2313399999999999,1.74,0.146
1.23573,1.74,0.21000000000000002
1.23623,1.83,0.19799999999999998
1.24136,2.0,0.163
1.24136,1.8,0.15
1.24574,1.9,0.19
1.24624,1.9200000000000002,0.196
1.2513800000000002,1.97,0.16
1.25576,2.06,0.22599999999999998
1.25626,2.0,0.21800000000000003
1.2614,2.0,0.163
1.2614,2.04,0.16799999999999998
1.26577,2.19,0.23
1.26627,2.15,0.237
1.27142,2.19,0.182
1.27578,2.33,0.254
1.27629,2.31,0.23900000000000002
1.2814400000000001,2.3800000000000003,0.194
1.2814400000000001,2.31,0.192
1.2858,2.4299999999999997,0.256
1.29146,2.66,0.222
1.29581,2.59,0.27799999999999997
1.30148,2.83,0.235
1.30148,2.61,0.19799999999999998
1.30583,2.85,0.28800000000000003
1.3115,2.98,0.245
1.31584,3.14,0.335
1.32152,3.32,0.277
1.32152,3.0500000000000003,0.241
1.32586,3.31,0.36900000000000005
1.33154,3.4499999999999997,0.28800000000000003
1.33587,3.63,0.402
1.3415599999999999,3.59,0.304
1.3415599999999999,3.64,0.306
1.3458800000000002,3.8600000000000003,0.397
1.35158,3.82,0.325
1.3559,4.19,0.46299999999999997
1.3616,4.12,0.356
1.3616,4.4799999999999995,0.384
1.3659100000000002,4.590000000000001,0.502
1.3716199999999998,4.4799999999999995,0.391
1.37592,4.87,0.5429999999999999
1.3816400000000002,5.37,0.47300000000000003
1.3816400000000002,5.23,0.449
1.3859400000000002,5.4,0.5730000000000001
1.3916600000000001,5.26,0.5109999999999999
1.3916600000000001,5.35,0.525
1.39595,5.8100000000000005,0.643
1.4059700000000002,6.46,0.7010000000000001
1.41598,7.18,0.775
1.42599,7.7,0.844
1.43601,8.66,0.9179999999999999
1.44602,9.58,1.07
1.45603,10.6,1.17
1.46605,11.799999999999999,1.2899999999999998
1.47606,13.2,1.4400000000000002
1.48608,14.8,1.58
1.49609,16.2,1.77
1.5061,18.3,2.07
1.5061,18.8,2.07
1.51612,20.7,2.33
1.5261300000000002,22.9,2.52
1.53614,24.8,2.79
1.5461600000000002,27.400000000000002,3.12
1.55617,29.1,3.31
1.55617,29.5,3.4099999999999997
1.5661800000000001,30.8,3.54
1.57619,31.7,3.62
1.5862100000000001,33.6,3.87
1.59622,34.7,4.0
1.5967200000000001,33.099999999999994,3.68
1.60623,35.1,4.0600000000000005
1.60673,34.4,3.79
1.61625,36.3,4.19
1.6167500000000001,35.6,4.0
1.6167500000000001,36.5,4.1000000000000005
1.6167500000000001,35.3,3.8800000000000003
1.62626,37.5,4.32
1.62676,35.5,3.8899999999999997
1.6362700000000001,38.3,4.45
1.63677,37.1,4.12
1.63677,36.4,3.9699999999999998
1.64628,39.199999999999996,4.460000000000001
1.64679,39.800000000000004,4.37
1.6562999999999999,42.0,4.61
1.6568,41.6,4.34
1.66631,43.3,4.8999999999999995
1.66681,44.2,4.62
1.67632,46.0,5.21
1.67682,46.6,5.21
1.68634,47.300000000000004,5.36
1.68684,48.7,5.33
1.69034,48.4,5.4799999999999995
1.69635,49.099999999999994,5.56
1.69685,50.8,5.64
1.70035,51.9,5.930000000000001
1.7063599999999999,56.599999999999994,6.550000000000001
1.70686,54.199999999999996,6.07
1.71037,56.5,6.45
1.71637,62.1,7.29
1.71687,58.7,6.79
1.7203800000000002,61.699999999999996,7.119999999999999
1.72639,66.5,7.6499999999999995
1.72689,63.1,7.420000000000001
1.73039,68.7,8.05
1.7364000000000002,72.2,8.47
1.7369,68.6,8.13
1.7404000000000002,74.80000000000001,8.76
1.74641,79.3,9.180000000000001
1.7469100000000002,74.30000000000001,8.84
1.75041,73.6,8.84
1.75642,87.2,10.3
1.75692,81.4,9.549999999999999
1.7604300000000002,87.2,10.3
1.7664300000000002,94.39999999999999,11.2
1.7669300000000001,89.6,10.6
1.77044,87.0,10.4
1.77645,103.0,12.3
1.77695,97.19999999999999,11.700000000000001
1.78045,109.0,13.2
1.7864600000000002,115.0,13.5
1.78696,108.0,12.7
1.7904600000000002,121.0,13.6
1.79647,127.0,14.8
1.79697,118.0,14.5
1.80048,131.0,15.9
1.80648,141.0,16.7
1.80698,134.0,16.299999999999997
1.8104900000000002,147.0,17.8
1.81649,158.0,18.5
1.817,150.0,18.1
1.8205,162.0,19.5
1.82651,171.0,20.400000000000002
1.82701,171.0,20.9
1.83051,179.0,21.6
1.83652,187.0,22.2
1.83702,187.0,22.700000000000003
1.84052,191.0,23.400000000000002
1.84653,205.0,24.5
1.84703,198.0,24.6
1.85053,212.0,25.6
1.85654,221.0,26.200000000000003
1.85704,225.0,27.400000000000002
1.86055,227.0,27.799999999999997
1.86655,230.0,28.2
1.86705,230.0,28.2
1.87056,234.0,29.0
1.87657,246.0,28.7
1.87707,241.0,30.0
1.88057,248.0,30.3
1.88658,257.0,30.4
1.8870799999999999,251.0,29.7
1.89058,257.0,31.099999999999998
1.89659,258.0,32.2
1.89709,255.0,31.3
1.90059,256.0,31.4
1.9065999999999999,262.0,31.4
1.9071,258.0,31.2
1.9105999999999999,255.0,31.3
1.91661,253.0,29.9
1.9171099999999999,253.0,31.2
1.92062,249.0,30.599999999999998
1.92662,249.0,30.4
1.92712,247.0,30.599999999999998
1.93063,244.0,29.8
1.93663,246.0,30.099999999999998
1.9371300000000002,246.0,29.7
1.9406400000000001,233.0,28.6
1.9466500000000002,237.0,28.6
1.9471500000000002,235.0,28.299999999999997
1.9506500000000002,222.0,27.5
1.95666,222.0,27.2
1.9571600000000002,222.0,27.2
1.96066,215.0,26.3
1.9666700000000001,212.0,25.8
1.96717,214.0,25.9
1.9706700000000001,202.0,24.6
1.9766800000000002,204.0,24.6
1.9771800000000002,206.0,24.9
1.98068,197.0,24.0
1.98669,197.0,23.8
1.98719,195.0,23.599999999999998
1.99069,189.0,23.099999999999998
1.9972,188.0,22.700000000000003
2.00071,184.0,21.8
2.00721,181.0,21.5
2.01072,177.0,21.7
2.01722,177.0,21.2
2.02073,174.0,21.0
2.02724,173.0,20.7
2.03074,171.0,22.4
2.0372500000000002,170.0,20.299999999999997
2.04075,170.0,21.4
2.04726,168.0,19.900000000000002
2.0507600000000004,167.0,20.299999999999997
2.06077,166.0,20.0
2.07078,164.0,20.0
2.08079,168.0,20.2
2.0908,167.0,20.1
2.10081,168.0,20.5
2.1108200000000004,169.0,20.6
2.13085,171.0,20.9
2.16088,167.0,20.299999999999997
2.17089,166.0,20.0
2.1809000000000003,167.0,20.400000000000002
2.1909099999999997,164.0,19.900000000000002
2.20092,164.0,20.0
2.21093,164.0,20.299999999999997
2.22094,160.0,19.7
2.23095,159.0,19.599999999999998
