# Reference: (J,PR,108,1294,195712)
E,sigma_B
1.8784,0.0005
1.8793,0.0124
1.8814,0.0657
1.8834,0.1535
1.8856,0.1786
1.8893,0.2069
1.8957,0.2268
1.8999,0.2343
1.9096,0.2443
1.9199,0.2373
1.9296,0.243
1.9403,0.2454
1.9497,0.2468
1.9594,0.2464
1.9692,0.2464
1.9799,0.2455
2.0,0.2456
2.0195,0.2452
2.0396,0.2448
2.0605,0.2482
2.0805,0.2492
2.101,0.272
2.1205,0.2867
2.1404,0.3052
2.1603,0.3497
2.1806,0.38
2.201,0.4159
2.2204,0.4509
2.2404,0.4708
2.2604,0.4705
2.2805,0.4465
2.3007,0.4201
2.3204,0.3876
2.3405,0.3584
2.3602,0.3302
2.3807,0.3156
2.4008,0.3053
2.4209,0.2907
2.4405,0.2809
2.4605,0.2758
2.481,0.2749
2.5006,0.267
2.5207,0.259
2.5407,0.2572
2.5608,0.2616
