# Reference: (J,RCA,91,185,2003)
E,sigma,d_sigma
6.4,,
6.4,,
7.0,,
7.0,,
7.6,,
7.7,,
7.7,,
8.0,,
8.2,,
8.5,,
9.0,,
9.2,,
9.5,,
9.9,,
10.2,,
10.4,,
10.6,,
10.7,,
10.8,,
11.4,127.0,16.0
11.7,,
12.1,91.0,14.0
12.2,,
12.8,,
12.9,,
13.1,110.0,14.0
13.5,,
13.9,,
14.1,113.0,15.0
15.0,,
15.1,86.0,11.0
15.4,,
15.5,92.0,12.0
15.8,,
16.5,75.0,10.0
17.4,66.0,9.0
17.5,,
18.3,52.0,7.0
18.6,,
19.1,,
19.2,53.0,10.0
