# Reference: (J,NP/A,330,495,1979) error descript.; data on figs.
E,sigma,d_sigma
0.1,0.55,0.05
0.12,0.91,0.09
0.14,1.52,0.13
0.16,2.52,0.22
0.18,4.16,0.32
