# Reference: (J,PR/C,49,1205,1994)
E,sigma,d_sigma
0.1543,2.7944e-06,9.0265e-07
0.161,1.3837e-05,8.9648e-07
0.1638,2.3449e-05,1.1554e-06
0.1661,3.3697e-05,1.3989e-06
0.1702,3.8242e-05,1.4181e-06
0.1806,3.2577e-05,1.0887e-06
0.1956,3.4557e-05,1.225e-06
0.2031,4.408e-05,1.5181e-06
0.2103,5.4172e-05,1.7729e-06
0.2175,7.3939e-05,1.9231e-06
0.2246,0.00010474,2.3326e-06
0.2317,0.000144,2.816e-06
0.2388,0.00020632,3.9884e-06
0.2458,0.00029373,4.6808e-06
0.2528,0.00042861,6.1028e-06
0.2598,0.00059938,7.6867e-06
0.2668,0.00090214,1.1477e-05
0.2738,0.0013087,1.2236e-05
0.2807,0.0019451,1.9308e-05
0.2878,0.0029007,2.7582e-05
0.2912,0.0035594,3.431e-05
0.2948,0.0042898,4.497e-05
0.2982,0.0052689,5.1424e-05
0.3018,0.0066403,6.295e-05
0.3053,0.0082936,6.6561e-05
0.3087,0.010269,7.3682e-05
0.3123,0.012837,8.313e-05
0.3158,0.016148,9.3547e-05
0.3192,0.020073,0.00017607
0.3227,0.024699,0.00018024
0.3297,0.039398,0.00022512
0.3363,0.060309,0.00030181
0.3429,0.088368,0.00039557
0.3492,0.12024,0.00050234
0.3552,0.14999,0.00058078
0.3613,0.16731,0.00065812
0.3741,0.17203,0.00076158
0.3878,0.15125,0.00071713
0.3949,0.1404,0.00053408
0.3984,0.13454,0.0007023
0.402,0.13231,0.00049984
0.402,0.13236,0.00064958
0.4056,0.13066,0.00064784
0.4096,0.12779,0.00062346
0.4145,0.12979,0.00063241
0.4203,0.15953,0.00073669
0.4233,0.22649,0.0010267
0.4255,0.3788,0.0015486
0.4273,0.65034,0.0031366
0.4292,0.56299,0.0027247
0.431,0.33169,0.001598
0.4331,0.21808,0.0010728
0.4365,0.16931,0.00085266
0.4422,0.14569,0.00071613
0.4467,0.13261,0.0006636
0.4506,0.12709,0.00063417
0.4542,0.12534,0.00063318
0.4578,0.12503,0.00062704
0.4719,0.12662,0.00052927
0.4859,0.13219,0.00063918
0.4998,0.13979,0.00056293
0.5138,0.15009,0.00056937
0.5277,0.16242,0.00080713
0.5417,0.17654,0.00068673
0.5556,0.19179,0.00079422
0.5696,0.21199,0.00085313
0.5835,0.23346,0.00090288
0.5975,0.25717,0.0010225
0.6114,0.28575,0.0011361
0.6253,0.314,0.0012111
0.6392,0.3478,0.0013103
0.6532,0.38665,0.0015749
0.6671,0.43017,0.0016927
0.6811,0.47709,0.0020797
0.695,0.52818,0.0020669
0.7089,0.5911,0.0029745
0.7089,0.58939,0.0024355
0.7228,0.66519,0.004028
0.7368,0.73104,0.0042221
0.7507,0.81902,0.0043118
0.7647,0.91929,0.0045887
0.7785,1.0284,0.0048512
0.7925,1.1385,0.0050706
0.8064,1.2915,0.0054661
0.8204,1.4496,0.0057616
0.8343,1.622,0.006191
0.8482,1.8428,0.0070719
0.8621,2.0966,0.0079117
0.8761,2.3944,0.009142
0.89,2.7212,0.010306
0.904,3.1464,0.01214
0.9178,3.5901,0.013689
0.9318,4.1448,0.015515
0.9457,4.8317,0.018124
0.9596,5.6792,0.021814
0.9736,6.791,0.025491
0.9875,8.0407,0.030828
1.0014,9.8574,0.036924
1.0153,11.958,0.044762
1.0293,14.816,0.055488
1.0431,18.202,0.070798
1.057,21.838,0.08187
1.0708,25.502,0.096282
1.0847,28.474,0.10962
1.0985,30.432,0.11405
1.1124,32.258,0.13106
1.1263,34.438,0.13629
1.1403,37.847,0.14588
1.1542,42.699,0.15998
1.1682,49.563,0.18889
1.1821,58.689,0.2211
1.1821,58.866,0.22041
1.1961,69.905,0.26481
1.21,83.975,0.31686
1.224,101.43,0.38235
1.2378,124.12,0.46509
1.2517,152.2,0.58895
1.2655,184.97,0.69594
1.2794,219.3,0.83331
1.2931,248.5,1.0197
1.307,262.39,0.99785
1.3207,258.92,0.98133
1.3346,245.33,0.92185
1.3485,227.07,0.85161
1.3624,207.62,0.77718
1.3763,191.53,0.72979
1.3763,192.84,0.72455
1.3902,178.52,0.67484
1.4041,174.26,0.65646
1.4181,167.83,0.66387
1.4319,168.27,0.65224
1.4459,167.02,0.63639
1.4598,169.03,0.64155
1.4737,169.19,0.63329
1.4737,169.3,0.64057
1.4875,169.59,0.65351
1.5015,170.88,0.64025
1.5153,169.81,0.63578
1.5293,167.36,0.62724
1.5431,165.94,0.62121
1.557,164.54,0.6232
1.5709,160.63,0.61243
1.5848,159.77,0.61215
1.5986,156.41,0.59527
1.6126,154.57,0.5865
1.6264,152.83,0.58228
1.6404,151.63,0.57789
1.6542,149.6,0.57067
1.6682,148.64,0.56684
1.682,149.25,0.56645
1.696,148.95,0.56695
1.7098,149.65,0.56797
1.7237,150.73,0.56744
1.7376,153.34,0.57511
1.7515,155.18,0.58084
1.7653,154.52,0.57892
1.7792,154.93,0.58141
1.7931,152.51,0.57085
1.807,147.42,0.55987
1.8208,141.47,0.53798
1.8347,135.22,0.51145
1.8486,128.13,0.48278
1.8625,121.47,0.46411
