# Reference: (J,PR,123,598,1961)
E,sigma,d_sigma
5.503,159.481,15.088
6.458,233.617,24.536
6.985,196.39,22.166
7.35,137.45,14.156
7.605,167.189,
7.653,163.418,
7.748,157.293,16.514
8.071,78.065,7.071
8.116,89.862,
8.639,71.975,
8.992,78.607,9.435
9.42,67.789,
10.498,45.856,
10.65,59.391,6.133
11.382,58.975,7.076
12.165,43.467,4.716
13.539,28.476,3.776
