# Reference: (J,PR,105,1545,195703)
E,sigma
0.6,6.0
0.66,9.0
0.7,13.0
0.75,21.0
0.81,36.0
0.87,61.0
0.92,107.0
0.95,134.0
1.01,178.0
1.06,237.0
1.1,279.0
1.17,310.0
1.27,403.0
1.32,436.0
1.38,437.0
1.44,447.0
1.49,470.0
1.55,477.0
1.59,515.0
1.69,549.0
1.8,627.0
1.85,637.0
1.89,659.0
1.95,676.0
2.01,671.0
2.11,721.0
2.19,759.0
2.29,791.0
2.41,861.0
2.52,874.0
2.61,898.0
