# Reference: (J,NIM/B,554,165460,2024)
E_kev,sigma,d_sigma
331.0,16.8,1.8
440.0,25.3,2.0
546.0,30.3,1.6
651.0,31.7,1.9
758.0,30.2,1.7
861.0,28.3,1.8
963.0,26.1,2.0
1065.0,24.1,2.3
1169.0,22.6,2.0
1269.0,21.0,1.9
1372.0,19.6,1.7
1473.0,18.4,1.8
1573.0,17.6,1.6
1675.0,16.4,1.7
1776.0,15.9,1.4
1877.0,15.2,1.5
1978.0,14.4,1.3
2078.0,14.1,1.2
2180.0,13.6,1.1
