# Reference: (J,RCA,38,57,1985)
E,sigma,d_sigma
1.08,10.3,
1.16,10.3,
1.94,46.9,
2.31,110.9,
2.68,163.9,
3.02,168.4,
3.36,183.4,
3.68,195.5,
4.02,227.2,
4.31,218.6,
4.63,189.8,
4.89,212.5,
5.18,180.8,
5.51,184.4,
5.79,180.0,
6.1,191.8,
6.35,175.5,
6.64,152.9,2.3
7.17,150.6,
7.74,140.3,
8.28,139.5,
9.12,128.4,
9.64,117.8,
10.18,106.5,
10.71,94.6,
11.23,96.7,
12.28,93.0,
