# Reference: (J,NP,39,447,1962) in French
E,sigma,d_sigma
50.0,22.0,1.0
60.0,21.0,1.0
70.0,19.0,1.0
80.0,17.5,1.0
85.0,16.5,1.0
90.0,16.0,1.0
100.0,15.0,0.8
110.0,14.0,0.8
120.0,13.0,0.7
130.0,12.0,
150.0,10.5,0.5
