# Reference: (J,PR,95,1012,1954)
E,sigma
0.71,103.0
0.71,111.0
0.72,120.0
0.74,130.0
0.75,147.0
0.76,142.0
0.78,150.0
0.8,147.0
0.83,148.0
0.84,146.0
0.86,134.0
0.87,131.0
0.88,138.0
0.89,131.0
0.9,123.0
0.95,114.0
0.96,110.0
0.98,110.0
1.0,114.0
1.02,119.0
1.05,120.0
1.07,118.0
1.07,113.0
1.09,109.0
1.12,108.0
1.13,109.0
1.13,102.0
1.14,102.0
1.15,103.0
1.18,103.0
1.19,103.0
1.21,106.0
1.22,108.0
1.23,111.0
1.27,113.0
1.29,117.0
1.31,121.0
1.32,126.0
1.35,125.0
1.35,130.0
1.37,127.0
1.39,130.0
1.4,130.0
1.45,136.0
1.46,141.0
1.48,143.0
1.5,141.0
1.51,145.0
1.53,146.0
1.56,147.0
1.58,148.0
1.6,149.0
1.63,149.0
1.65,151.0
1.66,152.0
1.68,153.0
1.7,152.0
1.71,152.0
1.71,159.0
1.72,154.0
1.74,148.0
1.74,156.0
1.77,159.0
1.8,157.0
1.83,157.0
1.86,161.0
1.86,155.0
1.88,158.0
1.91,159.0
1.93,158.0
1.96,159.0
1.99,156.0
2.02,160.0
2.06,160.0
2.09,158.0
2.12,158.0
2.18,153.0
2.19,161.0
2.23,164.0
2.26,152.0
2.27,165.0
2.35,149.0
2.4,153.0
2.44,147.0
2.47,147.0
2.52,143.0
2.58,144.0
2.59,151.0
2.65,149.0
2.7,152.0
2.79,150.0
2.84,151.0
2.93,165.0
3.02,183.0
3.03,165.0
