# Reference: (J,PR,51,620,1937)
E,sigma
2.11,0.9
2.44,9.0
2.8,29.7
3.13,38.1
3.44,59.6
3.77,60.1
4.06,62.5
4.34,65.0
4.6,67.9
4.88,70.9
