# Reference: (J,NP/A,126,529,1969) in German
E,sigma
2.68,104.2
3.13,127.1
3.44,89.6
3.7,47.9
4.01,27.1
4.22,16.7
4.37,12.5
4.57,8.3
4.77,8.3
5.02,12.5
5.22,29.2
5.27,35.4
5.42,50.0
5.52,60.4
5.57,66.7
5.82,64.6
6.03,52.1
6.18,45.8
6.33,39.6
6.43,37.5
6.69,29.2
7.09,25.0
7.39,25.0
7.7,20.8
8.1,14.6
8.4,16.7
8.55,16.7
8.71,16.7
8.86,20.8
8.96,18.8
9.16,18.8
9.26,22.9
9.41,18.8
9.71,20.8
10.02,18.8
10.32,20.8
