# Reference: (J,JP/G,20,1973,1994)
E,sigma
18.07,1.96
21.68,1.393
24.67,1.177
27.76,0.977
33.09,0.668
34.76,0.535
36.73,0.711
38.29,0.489
42.38,0.711
44.48,0.667
