# Reference: (J,KPS,2,(1),1,196904)
E,sigma
0.0503,0.0047
0.0607,0.0127
0.0697,0.028
0.08,0.0546
0.0901,0.0888
0.1006,0.132
0.1103,0.184
0.1203,0.2497
