# Reference: (J,PL,2,306,62)
E,sigma
30.0,1.8
34.0,2.6
38.0,3.6
44.0,10.3
52.0,12.8
61.0,18.8
70.0,18.4
78.0,17.5
88.0,16.7
98.0,15.3
109.0,14.2
119.0,13.7
130.0,12.2
146.0,11.5
150.0,11.4
