# Reference: (J,PR,71,11,1947)
E,sigma_arb_units
0.552,0.81
0.597,1.595
0.648,2.869
0.698,4.04
0.746,4.605
0.797,4.513
0.846,3.956
0.904,3.773
0.936,3.759
0.953,3.874
0.983,4.17
1.005,4.478
1.028,4.516
1.046,3.896
1.062,3.715
1.083,3.701
1.097,3.61
1.147,3.531
1.199,3.529
1.248,3.733
1.296,4.337
1.347,4.528
1.399,4.513
