# Reference: (J,PR,74,373,194808)
E,sigma_B
1.9499,0.2052
2.0005,0.2139
2.0501,0.24
2.0996,0.2819
2.1494,0.3701
2.1997,0.4741
2.2493,0.4896
2.2947,0.4334
2.349,0.3607
2.3998,0.318
2.4495,0.3015
2.5002,0.2899
2.5498,0.2856
