# Reference: (J,NP,38,11,1962)
E,sigma,d_sigma
0.9,64.8,6.2
1.04,61.2,4.2
1.22,54.3,4.4
1.38,49.3,4.7
1.57,44.1,4.4
1.74,40.9,4.5
1.95,38.7,4.0
2.16,36.2,4.0
2.38,36.5,3.7
2.63,36.5,4.0
2.76,39.4,4.7
2.88,42.5,3.7
3.01,44.7,4.5
3.14,49.8,4.2
3.28,53.6,4.7
3.41,59.7,4.0
3.55,63.3,4.7
3.7,64.0,4.7
3.86,62.2,4.9
3.99,58.0,4.9
4.14,54.2,5.5
4.29,47.2,4.7
4.46,42.0,4.5
4.63,37.0,4.0
4.78,33.3,4.2
4.95,27.6,4.5
