# Reference: (J,ZP,197,58,1966)
E,sigma,d_sigma
0.05,0.12,0.01
0.06,0.3,0.03
0.07,0.62,0.06
0.08,1.16,0.12
0.09,1.83,0.15
0.1,2.8,0.18
0.11,3.7,0.25
0.12,4.85,0.17
0.13,6.1,0.4
0.14,7.7,0.5
0.15,9.9,0.6
0.16,12.2,0.8
0.17,14.4,0.9
0.18,17.0,1.1
0.19,19.7,1.3
