# Reference: (J,IZV,84,1440,2020)
E,sigma,d_sigma
2.3865,180.16,19.20336
2.623,360.32,38.40672
2.847,450.4,48.0084
3.072,405.36,43.20756
3.293,540.48,57.61008
3.5115,709.38,75.61323
3.7295,776.94,82.81449
3.948,653.08,69.61218
4.1595,563.0,60.0105
4.3765,641.82,68.41197
4.585,619.3,66.01155
4.8005,563.0,60.0105
5.0135,484.18,51.60903
5.2205,563.0,60.0105
5.434,349.06,37.20651
5.637,619.3,66.01155
5.8515,484.18,51.60903
6.059,540.48,57.61008
6.2645,574.26,61.21071
6.4745,450.4,48.0084
6.677,619.3,66.01155
6.888,608.04,64.81134
7.0935,563.0,60.0105
7.299,495.44,52.80924
7.508,641.82,68.41197
7.7085,461.66,49.20861
7.9175,439.14,46.80819
8.121,506.7,54.00945
8.326,360.32,38.40672
8.533,427.88,45.60798
8.7335,450.4,48.0084
8.9415,484.18,51.60903
9.144,394.1,42.00735
9.348,337.8,36.0063
9.554,427.88,45.60798
9.7535,315.28,33.60588
9.9605,472.92,50.40882
10.1625,270.24,28.80504
10.367,337.8,36.0063
10.571,394.1,42.00735
10.771,270.24,28.80504
10.978,360.32,38.40672
11.1785,439.14,46.80819
11.3825,225.2,24.0042
11.5855,258.98,27.60483
11.786,304.02,32.40567
