# Reference: (J,PR,119,1079,1960)
E,sigma,d_sigma
0.893,6.12,0.51
1.163,10.88,0.56
1.495,15.8,0.85
1.863,17.74,0.96
2.573,25.28,1.47
3.131,21.3,1.24
3.556,21.04,1.18
4.361,21.82,1.24
4.806,17.83,0.96
5.269,21.13,1.13
