# Reference: (C,75WASH,2,697,1975) - only data for 6Li+d compiled
E,sigma
2.163,18.3
2.418,17.1
2.675,19.5
2.933,22.4
3.191,27.4
3.449,32.4
3.705,32.4
3.96,31.1
4.214,26.6
4.425,23.2
4.679,19.4
4.891,16.5
5.402,13.6
5.869,10.7
