# Reference: (J,PR,74,373,194808)
E,sigma_B,d_sigma_B
1.9999,0.247,
2.0996,0.2909,0.0106
2.1998,0.4237,0.0106
2.2493,0.4656,0.0181
2.2996,0.4181,0.0134
2.3993,0.3128,0.011
