# Reference: (J,VAT/I,,(8/16),17,1990)
E,sigma,d_sigma
26.5,0.24,0.04
30.8,8.1,1.1
35.0,14.0,2.0
42.0,21.0,3.1
46.2,22.0,3.0
51.8,19.0,3.0
56.6,17.0,2.4
61.4,17.0,2.5
66.4,15.0,2.1
71.8,16.0,2.1
79.9,16.0,2.2
84.9,14.0,1.9
88.7,12.0,1.6
94.3,15.0,1.7
99.0,13.0,1.7
103.0,14.0,1.8
