theta_deg,dsigma_domega_mb_sr,ratio_to_rutherford
0.01,1.4301e+16,1.0
1.0,142850000.0,0.99884
2.0,8907800.0,0.99639
3.0,1754700.0,0.99336
4.0,553610.0,0.99019
5.0,226180.0,0.98723
6.0,108870.0,0.98476
7.0,58701.0,0.98306
8.0,34412.0,0.9824
9.0,21516.0,0.98304
10.0,14162.0,0.98524
11.0,9722.599822,0.98926
12.0,6915.300112,0.99537
13.0,5069.865461,1.0038
14.0,3816.232945,1.015
15.0,2940.249841,1.029
16.0,2312.945738,1.0462
17.0,1853.930144,1.0669
18.0,1511.566361,1.0914
19.0,1251.798613,1.12
20.0,1051.633183,1.1529
21.0,895.216377,1.1904
22.0,771.40939,1.2329
23.0,672.251533,1.2805
24.0,591.964601,1.3337
25.0,526.294753,1.3926
26.0,472.06946,1.4575
27.0,426.89421,1.5286
28.0,388.941657,1.6063
29.0,356.802951,1.6907
30.0,329.381531,1.7821
31.0,305.816307,1.8806
32.0,285.425489,1.9865
33.0,267.665051,2.0999
34.0,252.097736,2.221
35.0,238.369696,2.3499
36.0,226.192734,2.4868
37.0,215.3307,2.6318
38.0,205.588981,2.7849
39.0,196.806331,2.9462
40.0,188.84846,3.1157
41.0,181.602987,3.2935
42.0,174.975435,3.4796
43.0,168.886031,3.6739
44.0,163.267139,3.8765
45.0,158.061188,4.0871
46.0,153.218991,4.3059
47.0,148.698376,4.5325
48.0,144.463062,4.767
49.0,140.481738,5.0091
50.0,136.727299,5.2588
51.0,133.176212,5.5157
52.0,129.80799,5.7797
53.0,126.604751,6.0506
54.0,123.550846,6.328
55.0,120.632549,6.6118
56.0,117.837793,6.9017
57.0,115.155947,7.1974
58.0,112.577624,7.4985
59.0,110.094521,7.8047
60.0,107.699278,8.1158
61.0,105.38536,8.4312
62.0,103.146954,8.7508
63.0,100.978881,9.0742
64.0,98.876518,9.4009
65.0,96.835733,9.7306
66.0,94.852826,10.063
67.0,92.92448,10.397
68.0,91.047715,10.734
69.0,89.219851,11.072
70.0,87.438473,11.41
71.0,85.701404,11.75
72.0,84.006675,12.09
73.0,82.352503,12.43
74.0,80.737274,12.769
75.0,79.15952,13.108
76.0,77.617905,13.445
77.0,76.111213,13.781
78.0,74.638332,14.115
79.0,73.198244,14.447
80.0,71.790015,14.776
81.0,70.412785,15.103
82.0,69.065765,15.427
83.0,67.74822,15.747
84.0,66.459473,16.063
85.0,65.198893,16.376
86.0,63.96589,16.685
87.0,62.759915,16.989
88.0,61.580451,17.289
89.0,60.42701,17.584
90.0,59.299132,17.874
91.0,58.196381,18.159
92.0,57.118339,18.439
93.0,56.064611,18.714
94.0,55.034814,18.984
95.0,54.028582,19.248
96.0,53.045561,19.506
97.0,52.085406,19.76
98.0,51.147784,20.007
99.0,50.23237,20.249
100.0,49.338845,20.485
101.0,48.466896,20.716
102.0,47.616217,20.941
103.0,46.786504,21.161
104.0,45.97746,21.375
105.0,45.188787,21.584
106.0,44.420193,21.788
107.0,43.671385,21.986
108.0,42.942075,22.179
109.0,42.231974,22.368
110.0,41.540795,22.551
111.0,40.868249,22.73
112.0,40.214053,22.904
113.0,39.577918,23.074
114.0,38.959559,23.239
115.0,38.35869,23.4
116.0,37.775026,23.557
117.0,37.208279,23.71
118.0,36.658165,23.86
119.0,36.124395,24.006
120.0,35.606684,24.148
121.0,35.104745,24.288
122.0,34.618291,24.424
123.0,34.147036,24.557
124.0,33.690692,24.688
125.0,33.248973,24.816
126.0,32.821594,24.941
127.0,32.408267,25.064
128.0,32.008708,25.185
129.0,31.622632,25.304
130.0,31.249755,25.421
131.0,30.889795,25.535
132.0,30.542469,25.648
133.0,30.207498,25.76
134.0,29.884601,25.869
135.0,29.573503,25.978
136.0,29.273928,26.084
137.0,28.985602,26.19
138.0,28.708254,26.294
139.0,28.441616,26.396
140.0,28.185421,26.497
141.0,27.939406,26.597
142.0,27.70331,26.696
143.0,27.476878,26.794
144.0,27.259855,26.89
145.0,27.051991,26.984
146.0,26.853041,27.078
147.0,26.662762,27.17
148.0,26.480917,27.261
149.0,26.307272,27.35
150.0,26.141599,27.437
151.0,25.983675,27.523
152.0,25.83328,27.608
153.0,25.690202,27.69
154.0,25.554232,27.771
155.0,25.42517,27.85
156.0,25.302817,27.927
157.0,25.186985,28.002
158.0,25.077489,28.074
159.0,24.974152,28.144
160.0,24.876803,28.212
161.0,24.785277,28.277
162.0,24.699418,28.34
163.0,24.619075,28.4
164.0,24.544105,28.457
165.0,24.474373,28.512
166.0,24.409749,28.563
167.0,24.350115,28.611
168.0,24.295357,28.656
169.0,24.245371,28.698
170.0,24.200059,28.736
171.0,24.159332,28.771
172.0,24.123111,28.803
173.0,24.091322,28.831
174.0,24.063902,28.855
175.0,24.040794,28.876
176.0,24.021953,28.893
177.0,24.007339,28.906
178.0,23.996922,28.915
179.0,23.99068,28.921
179.99,23.988601,28.923
