source,E_MeV,sigma_mb,d_sigma_mb,coverage_frac
he4_p_h3_2p_1,28.0,8.9,1.0,1.000
he4_p_h3_2p_1,90.0,17.0,3.0,1.000
he4_p_h3_2p_1,300.0,16.5,6.0,1.000
