source,E_MeV,sigma_mb,d_sigma_mb,coverage_frac
p_7Li4He_4He_1,35.142857,30.2,3.7,1.000
p_7Li4He_4He_1,46.171429,17.0,1.5,1.000
p_7Li4He_4He_1,67.942857,3.9,0.3,1.000
p_7Li4He_4He_1,79.542857,2.0,0.2,1.000
p_7Li4He_4He_1,90.4,0.94,0.08,1.000
