input_file,reaction,type,method,E_lab_MeV,Q_MeV,sigma_tot_mb,products
p_7Li_4He_4He_305.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,305.0,17.34545262438446,66195845212.08622,he4
p_7Li_4He_4He_310.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,310.0,17.34545262438446,64076391669.50052,he4
p_7Li_4He_4He_315.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,315.0,17.34545262438446,62062193155.92128,he4
p_7Li_4He_4He_320.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,320.0,17.34545262438446,60134112393.96589,he4
p_7Li_4He_4He_325.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,325.0,17.34545262438446,58301718021.78433,he4
p_7Li_4He_4He_330.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,330.0,17.34545262438446,56545872761.99701,he4
p_7Li_4He_4He_335.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,335.0,17.34545262438446,54871360933.66982,he4
p_7Li_4He_4He_340.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,340.0,17.34545262438446,53268613896.52603,he4
p_7Li_4He_4He_345.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,345.0,17.34545262438446,51737631653.276375,he4
p_7Li_4He_4He_35.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,35.0,17.34545262438446,5026884514225.286,he4
p_7Li_4He_4He_350.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,350.0,17.34545262438446,50268845563.86848,he4
p_7Li_4He_4He_355.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,355.0,17.34545262438446,48862255628.12561,he4
p_7Li_4He_4He_360.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,360.0,17.34545262438446,47514991254.14306,he4
p_7Li_4He_4He_365.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,365.0,17.34545262438446,46221789690.66697,he4
p_7Li_4He_4He_370.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,370.0,17.34545262438446,44981215641.739105,he4
p_7Li_4He_4He_375.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,375.0,17.34545262438446,43789441651.81779,he4
p_7Li_4He_4He_380.0MeV.out,p_li7_he4_he4,two_body,two_body_kinematics,380.0,17.34545262438446,42645032424.98173,he4
