bin_low_MeV,bin_high_MeV,sigma_bin_mb,eta
0.0,5.0,0.0,0.0
5.0,10.0,0.0,0.0
10.0,15.0,2.5084916038409846,6.884391193775232e-12
15.0,20.0,2.227638360795523,6.113607831293642e-12
20.0,25.0,1.3122724218129154,3.601445861221873e-12
25.0,30.0,1.0151723384712434,2.7860741078161754e-12
30.0,35.0,0.9497443579009781,2.6065112930255123e-12
35.0,40.0,1.1986734496497795,3.2896809095735092e-12
40.0,45.0,1.3150484554684436,3.609064504083774e-12
45.0,50.0,2.1402919408635452,5.873891292770351e-12
50.0,55.0,2.445622509506068,6.711851074949561e-12
55.0,60.0,2.5413661838631953,6.974613329204119e-12
60.0,65.0,4.102889203646944,1.1260111159779281e-11
65.0,70.0,5.31066441341221,1.457477125488842e-11
70.0,75.0,5.164016481582356,1.41723055942783e-11
75.0,80.0,7.461863169157429,2.0478595587980116e-11
80.0,85.0,8.135212137886663,2.2326557807012135e-11
85.0,90.0,6.469506206897218,1.7755136788435013e-11
90.0,95.0,7.217949466251813,1.9809190378190555e-11
95.0,100.0,5.428937475804525,1.489936394156424e-11
100.0,105.0,3.7535902534027166,1.0301483029083442e-11
105.0,110.0,1.9289445859365273,5.293862295719148e-12
110.0,115.0,4.9251231835813325,1.3516678557499737e-11
115.0,120.0,19.203447013947503,5.270260474881382e-11
120.0,125.0,46.88190365168438,1.2866431928768555e-10
125.0,130.0,127.75811063263345,3.5062378140948253e-10
130.0,135.0,376.3878838981173,1.0329719379503858e-09
135.0,140.0,364373773769.4984,0.9999999982221982
140.0,145.0,0.0,0.0
145.0,150.0,0.0,0.0
150.0,155.0,0.0,0.0
155.0,160.0,0.0,0.0
160.0,165.0,0.0,0.0
165.0,170.0,0.0,0.0
170.0,175.0,0.0,0.0
175.0,180.0,0.0,0.0
180.0,185.0,0.0,0.0
185.0,190.0,0.0,0.0
190.0,195.0,0.0,0.0
195.0,200.0,0.0,0.0
200.0,205.0,0.0,0.0
205.0,210.0,0.0,0.0
210.0,215.0,0.0,0.0
215.0,220.0,0.0,0.0
220.0,225.0,0.0,0.0
225.0,230.0,0.0,0.0
230.0,235.0,0.0,0.0
235.0,240.0,0.0,0.0
240.0,245.0,0.0,0.0
245.0,250.0,0.0,0.0
250.0,255.0,0.0,0.0
255.0,260.0,0.0,0.0
260.0,265.0,0.0,0.0
265.0,270.0,0.0,0.0
270.0,275.0,0.0,0.0
275.0,280.0,0.0,0.0
280.0,285.0,0.0,0.0
285.0,290.0,0.0,0.0
290.0,295.0,0.0,0.0
295.0,300.0,0.0,0.0
300.0,305.0,0.0,0.0
305.0,310.0,0.0,0.0
310.0,315.0,0.0,0.0
315.0,320.0,0.0,0.0
320.0,325.0,0.0,0.0
325.0,330.0,0.0,0.0
330.0,335.0,0.0,0.0
335.0,340.0,0.0,0.0
340.0,345.0,0.0,0.0
345.0,350.0,0.0,0.0
350.0,355.0,0.0,0.0
355.0,360.0,0.0,0.0
360.0,365.0,0.0,0.0
365.0,370.0,0.0,0.0
370.0,375.0,0.0,0.0
375.0,380.0,0.0,0.0
380.0,385.0,0.0,0.0
385.0,390.0,0.0,0.0
390.0,395.0,0.0,0.0
395.0,400.0,0.0,0.0
